video_id,video_title,video_date,comment_text,comment_date
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"CURANG,,, Seluruh warga Indonesia di bohongi hasil Quick Count Lembaga Survey, perhatikan menit 2:48:10, Perhatikan Tanggal & Jam nya ""13 February 2024"" Kemengan 02 versi Quick Count sudah di setting sejak 13 February 2024...... ko ga da yg pada sadar ya termasuk mba@najwashihab , Lembaga Survey WAJIB di Audit ulang dan dihukum atas oembohongan Publik sekelas Pilpress",2024-02-19T16:26:16Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"@najwashihab Mba ko di menit ke 2:48:10 TANGGAL Quick Count tanggal 13 February 2014, Quick Count emang bisa di setting ya????",2024-02-19T16:19:23Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"2:48:10 JANGGAL, MASA TANGGAL Quickbcount tanggal 13 February 2014, Pemilunya aj Tanggal 14 February 2014",2024-02-19T16:17:37Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Gara-gara tok-tok gw langsung cek cenelnya mbak nana.\nEee... Ternyata bener Tanggal 13.😂😂😂😂,2024-02-19T15:30:52Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Smoga mba Nana mau ngeliat kembali siaran langsung musyawarah quick count tgl 14 kemarin, ditampilan data indikator, peehatikan waktu pengambilan data dipojok kanan atas, quick countnya ternyata ditanggal 13/02, sehari sebelum pemilu!!!.",2024-02-19T15:08:47Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Kok kenapa tanggalnya 13 Februari cuy wah Mba Nana harus lihat,2024-02-19T06:45:32Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Kak COBA LIHAT TANGGAL NYA DI 2:49:00 DIPERBESAR. KOK 13 FEBRUARI? DI LAYAR PENGHITUNGAN,2024-02-19T06:42:10Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Saya cek dimedia manapun seperti CNN dan internet Menerangkan perhitungan suara Luar Negeri juga dalam negeri serentak tanggal 14 Febuary 2024. Tapi Quick Count dalam video sekitar 2:50 menitan bagian kanan atas Terlihat Jelas Tanggal 13Febuary. Kalau memang mau menang memanglah dengan cara terhormat dan kami menghormati PEMILU yg JURDIL bukan yg curang!  Janganlah keserakahan atas kekuasaan membunuh matahari nurani kalian.\n\n\nTahu malulah Sebagai akhlak manusia,",2024-02-19T06:14:15Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Mohon mbak Najwa sebagian mediator Chanel Mengklarifikasi kebenaran Quick Count pada durasi 2:50an lebih terlihat bagian sekitar pojok atas bagian kanan tertera Tanggal 13 febuary.\nSedangkan pemilu dan penghitungan suara serentak tanggal 14febuary, yg dari luar negeri tadi saya lihat komennya juga perhitungan suaranya serentak tanggal 14 Febuary.\n\nMohon luruskan kaki yg tidak paham atas kejadian ini, kami tunggu mbak",2024-02-19T05:01:47Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Mbak najwa kalau menyediakan jamu yg sangat pahit sekalipun akan bisa diterima khalayak ramai, tapi jika racun yg disajikan apa mbak tega, mendoktrin penonton2 Chanel mbak. Menit 2:50an lebih terlihat bagian wilayah pojok kanan ada tanggal 13 Febuary. Sedangkan pemilihan dan perhitungan suara serentak dalam dan luar negeri tanggal 14 Febuary.\n\nAda apa dengan negaraku tercinta saat ini ?.\n\nMohon klarifikasinya mbak Najwa, anda lebih paham dari kami",2024-02-19T04:57:58Z
