,video_id,video_title,video_date,comment_text,comment_date
43,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Otak kosong,2024-09-26T10:46:08Z
44,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Rupanya disini berkumpul nya para pecundang pembenci kluarga jokowi...apa urusan kalian dgn rompi kaesang...dia pake rompi bkn gambar kalian tpi gambar bpk nya...secara tdk langsung kaesang blg "" aku bangga jadi anaknya mulyono"" yg tukang kayu dn hidup di pinggir kali...bkn anak jokowi presiden indonesia...walo keduanya sama tpi kalian akan puas memanggil jokowi dgn sebutan mulyono",2024-09-26T10:26:04Z
45,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Ketengilan dan kesombongan pisang karbitan
Akan hilang sebulan lg
Saat ga bs lg ngumpet di bwh ketek bapaknya",2024-09-26T10:17:31Z
46,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Dimedan... menantu nya...punya skandal...blok Medan dan Clara...parah keluarga ini..,2024-09-26T10:15:22Z
47,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Njarak kata baha Jawa...,2024-09-26T10:13:31Z
48,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"BAGAIMANA PON DIA ANAK RAJA JAWA,,,,,",2024-09-26T10:11:42Z
49,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Tunggu saja, kesombongannya akan hancur",2024-09-26T10:06:18Z
50,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"minta proyek sama ortu. ndesooooo (prove)

TONTONAN POLITIK DAGANG CURANG

daripada pencitraan model begituan lebih baik akui telah menerima gratifikasi dan masuk penjara lalu bayar denda 25 milyar karena bolak balik pakai jet pribadinya. 

kalau anda cuman pencitraan begituan rakyat tetap menganggap anda penipu sama seperti bapak sama mas lo. 

minta maaf boleh. hukum tetap jalan. bukan sebaliknya, pencitraan getol tapi korupsi jalan terus. itu namanya nipu rakyat. lu beri ke rakyat SEDIKIT biar simpati tapi yang lu RAMPOK dari rakyat gede sembunyi sembunyi. sama kayak pas lu naik jet gratifikasi sembunyi sembunyi juga",2024-09-26T10:01:03Z
51,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"sudah capek capek pendukung Jokowi membela bela yg ngatain Mulyono, anaknya datang datang pake tulisan Mulyono, pendukungnya ayo semangat belain lagi",2024-09-26T09:54:03Z
52,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Bikin lagi dong rompi tulisannya : adiknya fufufafa atau adiknya slamet. ayo berani ga,2024-09-26T09:53:13Z
